career_objective,skills,educational_institution_name,degree_names,major_field_of_studies,professional_company_names,start_dates,end_dates,candidate_experience_years,positions,responsibilities,certification_skills,job_position_name,educationaL_requirements,experiencere_requirement,required_experience_years,skills_required,age_requirement,skills_required_data_available,skill_match,required_skill_coverage,experience_fit,education_match,certification_match,project_relevance,semantic_similarity,matched_score
,artificial intelligence; data analysis; debugging; django; docker; github; jira; machine learning; natural language processing; project management; python; relational databases; restapi; software developer; software development; sql; tornado,"['Dr. Virendra Swaroop Institute of Computer Studies, Kanpur', 'Pranveer Singh Institute of Technology, Kanpur']",BCA; MCA,Computers; Computers,['Daffodil Software Pvt Ltd'],Jan 2019,Till Date,5.0,Software Developer,"Mushak Forms Maintenance
VAT Software & MS Office Maintenance
VAT Ledger Management
VAT Challan Coordination
Liaison with VAT Office
VAT Documentation
Other Assigned Tasks",,Executive - VAT,BBA in Accounting and Finance,1 to 3 years,1.0,vat and tax,,True,0.0,0.0,0.9959,0.9,0.0,0.05,0.4383,0.3088
,data analytics; machine learning; natural language processing; nltk; production analytics; production engineering; python; tableau,['SMV Institute of Technology'],B.Tech,Electrical and Electronics,['Mahindra Ltd'],2019,TILL DATE,5.0,Assistant Analyst,"Supervision
Monitoring
Construction
Estimation
Planning
Material Management
Project Coordination
Quality Assurance
Cost Control
Inventory
Operations
Safety
Error Escalation
Miscellaneous Tasks




",,Site Engineer,Bachelor of Science (BSc) in Civil Engineering,1 to 2 years,1.0,autocad; communication and negotiation skills; internet; ms office,Age 25 to 30 years,True,0.0,0.0,0.9959,1.0,0.0,0.0,0.0142,0.3001
,c; c++; db2; java; jcl; linux; microsoft excel; microsoft ms access; microsoft word; ms frontpage; ms visio; oracle; sql; unix; visual basic; windows 2000; windows nt; windows vista; windows xp,['Southeastern Louisiana University (SLU)'],Bachelor of Science,Computer Science,"['SLU Computer Science Department', 'Financial Network Services, Pty Ltd.']",August 2020; June 2019,Present; August 2019,3.58,Blog Writer; Unix Administrator Assistant,"Mushak Forms Maintenance
VAT Software & MS Office Maintenance
VAT Ledger Management
VAT Challan Coordination
Liaison with VAT Office
VAT Documentation
Other Assigned Tasks",,Executive - VAT,BBA in Accounting and Finance,1 to 3 years,1.0,vat and tax,,True,0.0,0.0,0.9834,1.0,0.0,0.0417,0.3511,0.3171
"To secure an IT specialist, desktop support, network administration, database administrator, technical support specialist or related position with a growing organization where my Microsoft certification, technical aptitude, networking, Windows and Mac OS, Apple and Android IOS, web development, application development, Linux, Microsoft applications, managing, testing, client support, help desk, technical support, troubleshooting, and leadership skills can benefit those who I work for as well as myself.",application development; inventory management; management; microsoft applications; network security; networking; oncall tech support; pc hardware and software installation configuration and troubleshooting; programming languages; remote desktop and help desk management; team leadership; technical support; verbal communication; voice over ip telephone; voip tcp/ip ipsec atm ss7 ipx dns bind dhcp hsrp and lan/wan architecture; windows mac os; wiring/wire spicing cat3 cat5 cat5e coaxial,"['Glen Oaks High School', 'Glen Oaks High School']",Bachelor Degree; Associate Degree,Electronics and Communications Engineering Technology; Software Development,"['N/A', 'Company Name', 'Company Name']",August 2006; August 2013; July 2014,January 2013; September 2014; Current,17.01,Engineering Systems Installer; IT Technician/QA Tester; Installation/Service Technician,"Data Platform Design
Data Pipeline Development
ETL Processes
SQL Query Optimization
Data Integration & Transformation
Data Modeling
Stakeholder Collaboration
Data Quality Monitoring
Continuous Learning",,Data Engineer,Bachelor of Science (BSc),5 to 8 years,5.0,azure; big data; data analytics; etl tools; power bi; sql,,True,0.0,0.0,1.0,1.0,0.0,0.0938,0.1043,0.3099
,account reconciliation; accounts receivable accounts payable; adp; budget planning; cash management; cdi; financial statement analysis; fixed assets; full accounting cycle; general ledger accounting; inventory purchases; microsoft excel; microsoft office suite; microsoft outlook; microsoft powerpoint; microsoft word; pc law; peachtree; pico or suri; pr soft; quickbooks,"['University of Phoenix', 'University of Phoenix']",MBA; BBA,Accounting and Finance; Administration,"['Company Name', 'Company Name', 'Company Name', 'Company Name', 'Company Name', 'Company Name']",03/2018; 07/2017; 03/2015; 03/2013; 01/2012; 03/2008,12/2017; 06/2017; 03/2015; 05/2013; 03/2013,0.0,Accountant; Accounting and Finance Supervisor; Administrator/Accountant; Assistant Controller; Seasonal Tax Advisor; Account Executive,"Generative AI Development
Evolutionary Computation
Deep Learning Optimization
Expert Systems Design
Knowledge Representation
Data Preprocessing
Model Training
Research & Integration",,Intern (Generative AI Engineering - 2D/3D Image Generation),Bachelor of Science (BSc),,1.0,,Age 20 to 35 years,False,0.1579,0.1579,0.6225,0.9,0.0,0.0286,0.0631,0.3119
I am currently looking for an opportunity as a Data Science or Machine Learning Engineer.,business analyst; business intelligence; data modeling; erp implementation; html; power bi; project management; requirement gathering,"['SP University', 'SP University']",BBA; MBA,Management; Information Technology,['JVV IT Solutions'],Feb 2020,till date,3.92,Business Analyst,"Technical Support
Troubleshooting
Collaboration
Documentation
System Monitoring
Software Deployment
Training & Mentorship
Industry Trends
Field Visits




",,Senior Software Engineer,B.Sc in Computer Science & Engineering from a reputed university.,At least 1 year,1.0,,,False,0.1832,0.1832,0.9881,0.9,0.0,0.0526,0.0733,0.3811
,architecting best practice technical solutions; client management; engineering cost estimating; engineering resource management and forecasting; process improvement; qa/qm; team leadership / crossteam collaboration; technical program management; testing and commissioning planning and execution; vendor management,['University of California at Santa Barbara'],Bachelor of Science,Electrical and Computer Engineering,"['Company Name', 'Company Name', 'Company Name', 'Company Name', 'Company Name', 'Company Name']",01/2014; 01/2011; 07/2003; 07/1999; 07/1992; 06/1991,Current; 12/2013; 12/2010; 06/2003; 06/1999; 06/1992,0.0,Regional Engineering Manager; Engineering Supervisor; Senior Engineer; Systems Engineer II; Control Systems Engineer I / II; Associate Systems Engineer,"Supervision
Monitoring
Construction
Estimation
Planning
Material Management
Project Coordination
Quality Assurance
Cost Control
Inventory
Operations
Safety
Error Escalation
Miscellaneous Tasks




",,Site Engineer,Bachelor of Science (BSc) in Civil Engineering,1 to 2 years,1.0,autocad; communication and negotiation skills; internet; ms office,Age 25 to 30 years,True,0.0,0.0,0.6225,1.0,0.0,0.0278,0.0722,0.2484
,budget; database; dec; documentation; hardware; inspection; logistics; maintain documentation; meetings; microsoft excel; microsoft office; microsoft powerpoint; network; network systems; networking; operating systems; oracle; outlook; personnel; presentations; progress; quality; routers; safety; scheduling; shipping; spreadsheets; supervision,['University of Phoenix Texas'],Business Administration,Business Administration,"['Company Name', 'Company Name', 'Company Name', 'Company Name']",01/2014; 12/2012; 01/2011; 07/2004,Current; 12/2013; 12/2010,0.0,Engineering Technician; Consultant; Engineering Technician; Manufacturing Lead,"Mikrotik Router Configuration
OLT Device Setup & Management
Integration with Billing Software
Network Monitoring Tools Integration
Connectivity Troubleshooting
Technical Support & Escalation
Installation & Configuration
GPON/EPON Expertise
Cisco, OLT, MikroTik Knowledge",,Network Support Engineer,"Diploma, Bachelor/Honors",At least 3 years,3.0,ccna cisco certified network associate; gpon; hardware networking; iig; isp; it enabled services; olt and onu,Age 25 to 35 years,True,0.2,0.2857,0.1824,0.2,0.0,0.119,0.2531,0.1931
,artificial intelligence; business analytics; data analysis; data science; data structure; database management system; deep learning; java; machine learning; power bi; software development; software engineering; sql; tableau,"['HEM College, Indore']",B.Tech,,['ZoomBot'],Nov 2020,till date,3.16,Intern at Machine Learning and cognitive division,"15+ Years Banking Experience
Audit/Inspection/ICC Leadership
Internal Audit & Compliance
Risk-Based Operational Reviews
System-Based Audit Expertise
Knowledge of Bangladeshi Laws",,Head of Internal Control & Compliance (ICC) - SEVP/DMD,"Masters, Master of Business Administration (MBA), Master of Business Management (MBM)",At least 15 years,15.0,audit and inspection; banking; internal audit,Age at most 52 years,True,0.0,0.0,0.0,0.5,0.0,0.25,0.2868,0.1018
A highly disciplined and hard-working individual seeking challenging opportunity in the field of data science and data analytics where I can utilize my skills and knowledge to contribute for the growth of the organization,algorithms; ann; artificial intelligence; big data; c++; data analysis; data structures; data visualization; deep learning; hadoop; hive; java; linear regression; machine learning; predictive modeling; python; sql; statistical modeling; tableau,['Visveswaraiah Technological University (VTU)'],B.Tech,,['Sahara Medica'],Dec 2019,May 2020,0.42,Intern,"Machine Learning Leadership
Cross-Functional Collaboration
Strategy Development
ML/NLP Infrastructure
Prototype Transformation
ML System Design
Algorithm Research
Application Development
Dataset Selection
ML Testing
Statistical Analysis
R&D in ML/NLP
Text Representation
Data Pipeline Design
Statistical Data Analysis
Model Training
Team Collaboration
Research Reporting
Algorithm Analysis",,Machine Learning (ML) Engineer,M.Sc in Computer Science & Engineering or in any relevant discipline from a reputed University,At least 5 year(s),5.0,,,False,0.4758,0.4758,0.0439,0.5,0.0,0.0625,0.1903,0.3321
"Certified Data analyst with a degree in Electronics Engineering, I have hands on experience in analyzing & interpreting data with good numerical accuracy.",amazon web services; computer vision; data analysis; data mining; decision trees; deep learning; flask api; machine learning; multivariate analysis; natural language processing; numpy; predictive modeling; python; random forest; scikitlearn; sql; statistical analysis; xgboost,['Nagpur University'],B.Tech/B.E.,Electronics/Telecommunication,['AMZ Loans and Mortgages ERC Analytics'],Jun 2019,till date,4.59,Associate Analyst,"Application Development
Object-Oriented Design
Collaboration
Problem-Solving
Software Lifecycle
Innovation
Software Testing
System Analysis
Performance Monitoring
Plugin Development
Documentation
Integration Support",,Data Science Engineer,Bachelor of Science (BSc) in Computer Science & Engineering,At least 2 years,2.0,business analysis; effective communication skills; java; rest api design; soft skills; software development,Age 25 to 32 years,True,0.1667,0.3333,0.9835,1.0,0.0,0.1212,0.161,0.4283
,agile methodology; coaching/mentoring; data management; enterprise software; leadership development; people development; portfolio management; process analysis; product excellence; program management; solution design; systems integration,"['Claremont Graduate University', 'Claremont Graduate University', ""Mount St. Mary's University""]",Ph.D.; Master of Science; Bachelor of Arts,Computer Information Systems and Technology; Computer Information Systems and Technology; Business Administration,"['Company Name', 'Company Name', 'Company Name', 'Claremont Graduate University', ""Mount St. Mary's University""]",02/2011; 03/1998; 06/1993; Fall 2014; 1987,04/2017; 01/2011; 03/1998; Fall 2016; 1988,1.0,Senior Engineering Program Manager; Founder/Principal Consultant; Senior Manager; Adjunct Professor; Instructor,"Machine Learning Design
Data Analysis
Model Training
AI Integration
Innovation
Cross-Functional Collaboration
Model Deployment
Documentation
Analytical Skills
Communication
Team Collaboration",,AI Engineer,"Bachelors or Masters degree in Computer Science, Engineering, or a related field.",,1.0,python; pytorch; r or java; scikitlearn.; tensorflow,,True,0.0,0.0,0.8176,1.0,0.0,0.0,0.0363,0.2745
,advanced data analytics; analytical and business acumen; client engagement; communication; data storage; demand creation pursuits; federal government experience; interoperability; it support services,"['Rochester Institute of Technology', 'Columbia University', 'Revenue Storm']",Mechanical-Industrial Engineering; Executive Management; Business Development,Mechanical-Industrial Engineering; Accelerated Management Program,"['Company Name', 'Company Name', 'Applied Graphics Technologies', 'Company Name']",Feb 2007; Sep 2003; Feb 1996; Jan 1974,Current; Jan 2007; Aug 2003; Jan 1996,49.74,"Director, Business Development; CEO and President; Vice President, Commercial Digital Services; Director, National and Strategic Accounts - Digital and Applied Imaging Group","Internal Audit Assistance
Voucher & Bill Verification
Cost Sheet Analysis
L/C Voucher Verification
Expense Verification
Salary & Wages Verification
Market Rate Verification",hipaa compliance,Sr.Officer / Executive - Internal Audit,"Master of Commerce (MCom) in Accounting, Must have CACC certification from any CA firm",2 to 4 years,2.0,having cacc from reputed ca firm; internal audit and compliance,,True,0.0,0.0,1.0,0.2,0.5,0.0789,0.0477,0.2363
"Long term goals , become an intuitive I/E Technician in the pulp and paper industry, teach others with the potential to take on a leadership role within my first 5 years",analog and digital circuitry; assembly; broadcast; calibration; comfortable working at heights and odd locations; concept; detail drawings; detailoriented; detailoriented understanding that any downtime must be minimized if not avoidable; drafting; engineer; equipment calibration; exceptional time management; fm; geometric dimensioning; manufacturing process controls; measurement and layout; modeling; naval; network; operational analysis; oscilloscopes; quality; radar; record keeping; research; rigging; sales; soldering drilling tapping; sps; strong leader; technical plan execution aptitude; tenacity willingness to go to whatever length it takes to solve a problem or improve a process; test and measurement equipment; test equipment; uhf; understand overtime and oncall basis may be required; wiring,['Central Maine Community College'],Associate of Applied Science,"Continuing coursework in Math, History and finishing the ELT program","['Company Name', 'Company Name', 'Company Name', 'Company Name']",May 1994; Jun 1988; Jun 1985; Jun 1980,May 2000; Jun 1994; May 1988; Mar 1982,16.66,Engineering Technician/ Field Service; Engineering technician; Technician; Operations Specialist,"Apparel Sourcing
Quality Garment Sourcing
Reliable Partner
Buyer/Vendor Communication",,Business Development Executive,Bachelor/Honors,1 to 3 years,1.0,fast typing skill; ieltsinternet browsing online work ability.,Age 22 to 30 years,True,0.0,0.0,1.0,0.5,0.0,0.0,0.0,0.225
Looking for roles related to application development in Machine Learning.,business analysis; business analyst; data analytics; data cleansing; deep learning; machine learning; numpy; python; risk analysis; statistical analysis,['PGG College Mysore'],B.BA,,['ZigSAW'],Apr 2019,Dec 2020,1.67,SDE and Business Analyst Trainee,"Hardware & Software Installation
System Monitoring
IT Support
Networking Expertise
Mail Server Administration
Security Management
Troubleshooting & Repair
Operations Support",,Executive/ Sr. Executive -IT,Bachelor of Science (BSc) in Computer Science & Engineering,3 to 5 years,3.0,,Age at most 40 years,False,0.0,0.0,0.5424,1.0,0.0,0.0,0.0,0.2314
To obtain a position in my field of Electronics with a company that offers opportunities for advancement based on strong technical skills and work performance.,adapt to new technology at an accelerated rate; assemble/disassemble pcs and electronics to the component level; construct test and troubleshoot ac/dc circuits; create circuits with multisim cad software; determine voltage current resistance and power by calculations and measurements; digital communications with fiber optics; familiar in c+ c++ java script sql visual studio microsoft team foundation microsoft test manager tera term gshell linux osi; identify electronic components and schematic symbols; proficient with microsoft word excel powerpoint access outlook; skilled in the use of hand tools for repairing and installing electronics; strong oral and written communication skills; studied and understand programmable logic controllers; troubleshoot and identify faulty capacitors inductors and transformers; understand different types of transmission lines twisted pair utp shielded pair and coaxial; utilize oscilloscopes to measure ac frequency; very proficient in soldering,"['ITT Technical Institute', 'N/A']",Associate of Science Degree; Bachelor of Science Degree,Computer and Electronics Engineering Technology; Electronics and Communication Engineering Technology,"['Company Name', 'Company Name', 'Company Name']",Jan 2014; Jan 2012; Jan 2010,Jan 2016; Jan 2014; Jan 2012,6.0,Engineering Lab Technician; Engineering Validation Test Technician; Electromechanical Technician,"Hardware & Network Installation
Troubleshooting & Diagnostics
User Training & Capacity Building
Hardware Replacement
Fault Repair & System Setup
Software License & Account Management
Backup Management
System Updates & Maintenance
Server & Storage Management
Documentation & Technical Specifications
Data Protection & Disaster Recovery
Storage & Database Planning
Power & Disk Backup
Incident Management & Escalation
Service Restoration
User Communication & Verification
Incident Classification & Resolution
Major Incident Escalation
Problem & Error Management
Task Assignment & Execution",,"System Administrator (Operation & Maintenance of Server, Storage & Service Desk System)",Bachelor/Honors,4 to 5 years,4.0,cisco; linux; operation maintenance of server,,True,0.2,0.3333,0.9707,1.0,0.0,0.0847,0.0735,0.4302
,,"['University of British Columbia', 'Darmstadt University of Technology', 'Darmstadt University of Technology', 'Darmstadt University of Technology']",PhD in Computer Science; Hauptdiplom (equivalent to MSc) in Computer Science; Vordiplom (comparable to BSc) in Commercial Information Technology; Vordiplom (comparable to BSc) in Computer Science,Computer Science; Computer Science; Information Technology; Computer Science,"['University of British Columbia', 'University of British Columbia', 'Microsoft Research Cambridge, UK', 'NASA Ames Research Center, Mountain View, CA, USA', 'NASA Ames Research Center, Mountain View, CA, USA']",Since September 2009; 2004; June 2005; July 2003; June 2002,2009; August 2005; September 2003; August 2002,1.58,Postdoctoral Research Fellow; Research Assistant; Summer Research Intern; Summer Research Intern; Summer Research Intern,"Relationship Building
HR Collaboration
Policy Development
Training Management
Record Keeping
Compliance
Employee Development
Policy Enforcement
Communication
Task Execution",,HR Officer,"•Bachelor of Business Administration (BBA) in Human Resource Management
•BBA/MBA in HRM/Management from any reputed university.",,1.0,human resource management,Age 18 to 30 years,True,0.0,0.0,0.8889,1.0,0.0,0.0417,0.0417,0.2875
,account management; business development; business to business; business to customer; calm under pressure; contract negotiation; pl management; total quality management,['Grambling State University'],Bachelor of Science,Business Management,"['Company Name', 'Company Name', 'Company Name', 'Company Name', 'Company Name', 'Company Name', 'Company Name']",07/2005; 06/2013; 02/2007; 08/2003; 01/2001; 01/1998; 01/1994,Current; 02/2015; 03/2009; 02/2007; 01/2004; 01/2000; 01/1996,0.0,Business Development Manager; Senior Student Loan Consultant; Territory Sales Manager; Route Sales Associate; Skill Trainer; Production Manager; Shift Manager,"Hardware & Network Installation
Troubleshooting & Diagnostics
User Training & Capacity Building
Hardware Replacement
Fault Repair & System Setup
Software License & Account Management
Backup Management
System Updates & Maintenance
Server & Storage Management
Documentation & Technical Specifications
Data Protection & Disaster Recovery
Storage & Database Planning
Power & Disk Backup
Incident Management & Escalation
Service Restoration
User Communication & Verification
Incident Classification & Resolution
Major Incident Escalation
Problem & Error Management
Task Assignment & Execution",,"System Administrator (Operation & Maintenance of Server, Storage & Service Desk System)",Bachelor/Honors,4 to 5 years,4.0,cisco; linux; operation maintenance of server,,True,0.0,0.0,0.0759,1.0,0.0,0.0735,0.1075,0.1704
"Leadership and team building oriented mentality. Working towards of being a better professional, someone on whom a company can easily rely on. Looking for roles where I can learn and grow my skillset.",business intelligence; database management system; java; learning algorithm; machine learning; python; relational database management system; sas; software developer; software engineer; sql,['Vellore Institute of Technology (VIT)'],Integrated B.Tech & M.Tech,Software Engineering,['Cognibot'],May 2020,Dec 2020,0.59,Intern,"Mikrotik Router Configuration
OLT Device Setup & Management
Integration with Billing Software
Network Monitoring Tools Integration
Connectivity Troubleshooting
Technical Support & Escalation
Installation & Configuration
GPON/EPON Expertise
Cisco, OLT, MikroTik Knowledge",,Network Support Engineer,"Diploma, Bachelor/Honors",At least 3 years,3.0,ccna cisco certified network associate; gpon; hardware networking; iig; isp; it enabled services; olt and onu,Age 25 to 35 years,True,0.0,0.0,0.287,1.0,0.0,0.1316,0.1591,0.2076
,account reconciliation; accounting; accounts payable; accounts receivable; ar; billing; budget; cash handling; closing; coaching; communication skills; contracts; credit; customer service; financial; forms; general ledger; general ledger accounts; grants; groupwise; instructing; mentoring; merchandising; microsoft office; organizational skills; outlook; packaging; policies; pricing; public speaking; purchasing; receiving; reconciling; research; spreadsheets; team player; time management; yearend,"['Prairie View A & M University', 'University of North Texas', 'University of North Texas']",BBA; BBA; MBA,Accounting; Finance; Strategic Management,"['Company Name', 'Company Name', 'Company Name', 'Company Name', 'Company Name']",January 2014; January 2007; January 2006; June 2003; January 2003,Current; January 2014; January 2007; January 2004; January 2004,19.58,Accountant III; Assistant Accountant; Accounting Clerk B; Accounting Instructor; Student Accounts Representative/Bookkeeper,"Application Development
Object-Oriented Design
Collaboration
Problem-Solving
Software Lifecycle
Innovation
Software Testing
System Analysis
Performance Monitoring
Plugin Development
Documentation
Integration Support",,Data Science Engineer,Bachelor of Science (BSc) in Computer Science & Engineering,At least 2 years,2.0,business analysis; effective communication skills; java; rest api design; soft skills; software development,Age 25 to 32 years,True,0.1667,0.3333,1.0,0.9,0.0,0.0976,0.0979,0.4114
,gdb; github; html; jira; leetcode; lucidchart; owasp zap; postman; python; sql,['University of Texas'],Bachelor of Science,Computer Science,"['Charles Schwab', 'Sysco', 'Accenture']",2020; 2017; 2015,current; 2020; 2017,9.0,Computer Programmer; Systems Administrator; Help Desk Technician,"Open-Source Technologies
CI/CD Culture & Tooling
Product Availability & Scalability
Automation (Build & Deploy)
Monitoring & Reliability
Infrastructure Innovation
Software Engineering Velocity
Infrastructure Resiliency
Security & Data Availability",,DevOps Engineer,Bachelor/Honors,At least 3 years,3.0,ansible; aws cloud; cloud platform; devops; dockers and kubernetes; java; react; terraform,,True,0.0,0.0,0.9994,1.0,0.0,0.0,0.0,0.2999
"I am a software engineer, and I want to work on full time roles associated with Machine Learning. I have previously worked on some corporate models and due to its intricacies I want to explore more in the domain.",c++; firebase; flutter; java; kotlin; mongodb; nosql; numpy; pandas; python; tensorflow,"['National Institute of Technology (NIT), Hamirpur']",B.Tech,Computers,['XcelSior'],May 2019,Till date,4.67,SDE,"Trade Marketing Executive
Brand Visibility, Sales Targets
Field Marketing, Campaigns, Product Distribution
Brand Head
Excel, KPIs Tracking",,"Executive/ Senior Executive- Trade Marketing, Hygiene Products",Master of Business Administration (MBA),At least 3 years,3.0,brand promotion; campaign management; field supervision; merchandising; promotional activities; trade marketing,,True,0.0,0.0,0.9597,0.5,0.0,0.1923,0.2085,0.239
,delivery; ergonomics; lighting; paint; plc; plc 5; power distribution; producing; programming; project management; robotic systems; safety; troubleshooting; vision systems,"['Central Alabama Community College', 'Talladega High School']",Associates Degree; High School Diploma,Applied Science Electronics Technology,"['Company Name', 'Company Name', 'Company Name']",November 2000; January 1996; January 1993,Current; January 2000; January 1995,29.16,Engineering Specialist; Industrial Electrician; Operator,"Project Design
Data Analysis
ACCORD/Alliance Knowledge
BNBC Standards
Cost Estimation
Feasibility Studies
Documentation
Compliance
Site Monitoring
Policy Enforcement
Legal Compliance
Data Management
Team Collaboration",,Project Coordinator (Civil),•Bachelor of Business Administration (BBA) in Human Resource Management,5 to 10 years,5.0,auto cad 2d 3d; civil 3d; civil construction; civil engineering,Age 30 to 40 years,True,0.0,0.0,1.0,0.5,0.0,0.0606,0.0363,0.2298
,bi360 businessintelligence tool; great plains dynamics; keane care; microsoft word/excel,['MERCY COLLEGE'],Bachelor of Science,Accounting,"['Company Name', 'Company Name', 'Company Name', 'Company Name']",11/2009; 02/2006; 01/2006; 01/2001,01/2016; 11/2009; 01/2009; 01/2006,0.0,Senior Accountant; Senior Accountant; Senior Accountant; Controller,"Database Design & Development
SQL Query Optimization
Data Integrity & Security
BI Solutions Development
ETL Process Implementation
Database Maintenance
Backup & Restore Management
Index Rebuilding & Performance Tuning
SQL Server Clustering & High Availability
SQL Server Replication
High Availability Group Management
Database Monitoring & Troubleshooting",,Database Administrator (DBA),Bachelor of Science (BSc) in Computer Science,At least 1 year,1.0,asp.net mvc strong understanding of database design; database administrator dba; database management; elasticsearch; mongodb; mysql database; nosql database; redis,Age 25 to 40 years,True,0.0,0.0,0.6225,1.0,0.0,0.0682,0.1732,0.2554
,automation tools design and implement; collaborating with stakeholders roadmap managing releases demos risk mitigation planning; database and tools oracle 11g oracle 12c postgresql mongodb pgadmin 4 sql developer sql management studio toad db2; emv systems btt ul iccverify vcms vts astrex discover rct ats mas mdfs aciinterchange aciprm aci adm tsys certifynow firstdata certpro and more; operating systems unixaix unixsolaris linux windows ibmaix; payment terminals verifone ingenico equinox pax and innowi key management kpi dukpt key injection kek; pos systems micros restaurant manager symphony positouch broadpos; programming tools python katalon studio xls data input unix shell/perl scripting groovy rest json xml iso 8583 emv tags tcp http postman curlsiege jmeter cobol jcl cics postman; project management confluence jira microsoft office suite bugzilla redmine hp quality center; project management methodologies agile scrum waterfall iterative; qa engineering software expertise design estimate execute maintain and document.; talent management tools hireright icims; technical communication skills bug triage reporting technical reviews root cause analysis; test artifacts test estimation test plan test coverage traceability matrix bug tracking automation design test scenario engineering; test methodologies regression testing black box testing sanity testing boundary analysis requirement analysis static testing performance testing system integration testing functional testing manual testing.; version control tools gitbash gitstash gitlab torquisesvn sourcetree vss; virtual systems vmware vsphere proxmox,"['Devi Ahilya University', 'Devi Ahilya University']",Master of Computer Applications (MCA); Bachelors of Science,"Computer Applications, Software Engineering, Databases, Networking, and Operating Systems; Electronics","['Company Name', 'Company Name', 'Company Name']",01/2016; 04/2015; 09/2005,Current; 01/2016; 04/2015,0.0,QA Engineering Manager; Software Certification Analyst; Project Lead,"Design Creation
CAD Drawings
Design Optimization
Team Collaboration
Compliance Assurance
Design Reviews
Manufacturing Support
Documentation",python; python xml json and the web; sql for testers,Mechanical Designer,Bachelor’s degree in Mechanical Engineering from a reputed institute.,At least 5 years,5.0,autocad; solidworks,Age at least 24 years,True,0.0,0.0,0.0293,0.9,0.0,0.0,0.009,0.1398
"Creative and innovative draftsman, passionate about building designs and advanced construction solutions.Â  Â Seeking the best opportunity to further enhance present professional experience and expand knowledge base on architectural designs, while growing with an organization.",3d modeling; 3dsmax; architectural drafting; autocad; carpentry; detail oriented; drafting; email; floor plans; frame; mechanical; messaging; microsoft office applications; multitasking; painting; problem solving skills; read blueprints; reading; renovation; revit; selfmotivated; supervisor,['ITT Technical Institute'],A.A.S,Drafting and Design,"['Company Name', 'Company Name', 'Company Name', 'Company Name']",July 2015; July 2014; June 2013; June 2010,June 2017; December 2014; August 2013; August 2011,3.67,Engineering Technician; Material Handler; Laborer; Janitorial/Construction Laborer,"Database Design & Development
SQL Query Optimization
Data Integrity & Security
BI Solutions Development
ETL Process Implementation
Database Maintenance
Backup & Restore Management
Index Rebuilding & Performance Tuning
SQL Server Clustering & High Availability
SQL Server Replication
High Availability Group Management
Database Monitoring & Troubleshooting",,Database Administrator (DBA),Bachelor of Science (BSc) in Computer Science,At least 1 year,1.0,asp.net mvc strong understanding of database design; database administrator dba; database management; elasticsearch; mongodb; mysql database; nosql database; redis,Age 25 to 40 years,True,0.0,0.0,0.9848,0.2,0.0,0.0625,0.1153,0.1866
"To secure an IT specialist, desktop support, network administration, database administrator, technical support specialist or related position with a growing organization where my Microsoft certification, technical aptitude, networking, Windows and Mac OS, Apple and Android IOS, web development, application development, Linux, Microsoft applications, managing, testing, client support, help desk, technical support, troubleshooting, and leadership skills can benefit those who I work for as well as myself.",application development; inventory management; management; microsoft applications; network security; networking; oncall tech support; pc hardware and software installation configuration and troubleshooting; programming languages; remote desktop and help desk management; team leadership; technical support; verbal communication; voice over ip telephone; voip tcp/ip ipsec atm ss7 ipx dns bind dhcp hsrp and lan/wan architecture; windows mac os; wiring/wire spicing cat3 cat5 cat5e coaxial,"['Glen Oaks High School', 'Glen Oaks High School']",Bachelor Degree; Associate Degree,Electronics and Communications Engineering Technology; Software Development,"['N/A', 'Company Name', 'Company Name']",August 2006; August 2013; July 2014,January 2013; September 2014; Current,17.01,Engineering Systems Installer; IT Technician/QA Tester; Installation/Service Technician,"Design Creation
CAD Drawings
Design Optimization
Team Collaboration
Compliance Assurance
Design Reviews
Manufacturing Support
Documentation",,Mechanical Designer,Bachelor’s degree in Mechanical Engineering from a reputed institute.,At least 5 years,5.0,autocad; solidworks,Age at least 24 years,True,0.0,0.0,1.0,1.0,0.0,0.0,0.005,0.3003
"Skilled Machine Learning and Deep Learning practitioner, and I have worked on Computer vision-based projects. On the lookout for opportunities that help me understand more about the domain.",computer vision; deep learning; image processing; image segmentation; machine learning; opencv; pattern recognition; pillow; python; ruby,['JT University'],B.Tech(Computers),Computers,['Brane Enterprises Pvt LTD'],Jan 2020,Ongoing,0.0,Computer Vision Engineer,"15+ Years Banking Experience
Audit/Inspection/ICC Leadership
Internal Audit & Compliance
Risk-Based Operational Reviews
System-Based Audit Expertise
Knowledge of Bangladeshi Laws",,Head of Internal Control & Compliance (ICC) - SEVP/DMD,"Masters, Master of Business Administration (MBA), Master of Business Management (MBM)",At least 15 years,15.0,audit and inspection; banking; internal audit,Age at most 52 years,True,0.0,0.0,0.0,0.5,0.0,0.2308,0.2045,0.0968
