address,career_objective,skills,educational_institution_name,degree_names,passing_years,educational_results,result_types,major_field_of_studies,professional_company_names,company_urls,start_dates,end_dates,related_skils_in_job,positions,locations,responsibilities,extra_curricular_activity_types,extra_curricular_organization_names,extra_curricular_organization_links,role_positions,languages,proficiency_levels,certification_providers,certification_skills,online_links,issue_dates,expiry_dates,﻿job_position_name,educationaL_requirements,experiencere_requirement,age_requirement,responsibilities.1,skills_required,matched_score
,"Data Analyst, interested in Machine Learning application development. As a data analyst, I have extensive experience with data preprocessing and pipeline building and I would like to venture further into this domain to learn more about it.","['Data Analyst', 'Data Analytics', 'Data Analysis', 'Time Series Analysis', 'Business Analytics', 'Predictive Modeling', 'Regression Analysis', 'Image Processing', 'Data Visualization', 'Linear Regression', 'Statistical Analysis', 'Requirement Analysis', 'SQL', 'Tableau', 'Python']",['Sikkim Manipal university'],['BSc'],['2019'],['N/A'],['N/A'],['Information Technology'],['Sanrachna SGT University'],['N/A'],['Jun 2019'],['Jun 2020'],"[['Data Analysis', 'EDA', 'modelling', 'RShiny', 'text classifier']]",['Deputy Data Analyst'],['N/A'],"Database Design & Development
SQL Query Optimization
Data Integrity & Security
BI Solutions Development
ETL Process Implementation
Database Maintenance
Backup & Restore Management
Index Rebuilding & Performance Tuning
SQL Server Clustering & High Availability
SQL Server Replication
High Availability Group Management
Database Monitoring & Troubleshooting",,,,,,,,,,,,Database Administrator (DBA),Bachelor of Science (BSc) in Computer Science,At least 1 year,Age 25 to 40 years,"Database Design & Development
SQL Query Optimization
Data Integrity & Security
BI Solutions Development
ETL Process Implementation
Database Maintenance
Backup & Restore Management
Index Rebuilding & Performance Tuning
SQL Server Clustering & High Availability
SQL Server Replication
High Availability Group Management
Database Monitoring & Troubleshooting","ASP.NET MVC Strong understanding of database design
Database Administrator (DBA)
Database management
Elasticsearch
MongoDB
MySQL database
NoSQL database
REDIS",0.1198
,Seeking a technical position within an engineering team.,"['AutoCAD', 'C++', 'Visual Basics', 'Programmable Logic Controllers', 'Electrical Mechanical Systems', 'Instrumentation and Controls', 'Industrial Electricity', 'Engineering Economy', 'Technical Grammar Skills', 'Communication', 'Team work', 'Problem solving skills', 'Leadership']",['Middle Tennessee State University'],['Bachelor of Science'],['N/A'],['N/A'],['N/A'],['Engineering Technology Computer Engineering'],"['Company Name', 'Company Name', 'N/A']","[None, None, None]","['Jan 2015', 'Jan 2013', 'Jan 2011']","['Current', 'Jan 2015', 'Jan 2013']","[['Leadership', 'Project management', 'Team management', 'Budgeting'], ['Project management', 'Teamwork', 'Automation'], ['OEE', 'Safety solutions', 'KPI management']]","['Engineering Business Unit Leader', 'Project Engineer', 'Operations Technician']","['City, State', 'N/A', 'City, State']","15+ Years Banking Experience
Audit/Inspection/ICC Leadership
Internal Audit & Compliance
Risk-Based Operational Reviews
System-Based Audit Expertise
Knowledge of Bangladeshi Laws",,,,,,,,,,,,Head of Internal Control & Compliance (ICC) - SEVP/DMD,"Masters, Master of Business Administration (MBA), Master of Business Management (MBM)",At least 15 years,Age at most 52 years,"15+ Years Banking Experience
Audit/Inspection/ICC Leadership
Internal Audit & Compliance
Risk-Based Operational Reviews
System-Based Audit Expertise
Knowledge of Bangladeshi Laws","AUDIT AND INSPECTION
Banking
Internal Audit",0.1615
,,"['Bluebeam', 'Mathcad', 'Microsoft Word', 'Excel', 'Project', 'Powerpoint', 'Autocad Civil 3D']",['University of Pittsburgh at Johnstown'],['Bachelor of Science'],['2018'],['3.01'],['GPA'],['Civil Engineering'],"['Company Name', 'Company Name', 'Company Name']","[None, None, None]","['05/2017', '05/2016', '05/2015']","['08/2017', '08/2016', '08/2015']","[['Spreadsheets', 'Estimating', 'Dealt with Subcontractors/Suppliers', 'Plan Revisions'], ['Drill Logs', 'Time Cards', 'Drilled Shaft Concrete Pours', 'Quantities'], ['Spreadsheets', 'Concrete', ""RFI's"", 'Soil Nail Wall Installation']]","['Engineering Intern', 'Field Engineering Intern', 'Field Engineering Intern']","['City, State', 'City, State', 'City, State']","Internal Audit Assistance
Voucher & Bill Verification
Cost Sheet Analysis
L/C Voucher Verification
Expense Verification
Salary & Wages Verification
Market Rate Verification",,,,,,,,,,,,Sr.Officer / Executive - Internal Audit,"Master of Commerce (MCom) in Accounting, Must have CACC certification from any CA firm",2 to 4 years,,"Internal Audit Assistance
Voucher & Bill Verification
Cost Sheet Analysis
L/C Voucher Verification
Expense Verification
Salary & Wages Verification
Market Rate Verification","Having CACC from reputed CA Firm
Internal Audit and Compliance",0.2
,,"['Machine Learning', 'Cloud Architecture', 'Conversational AI', 'Natural Language Processing', 'Transformers', 'HuggingFace', 'RNN', 'LSTM', 'GRU']","['SJU College, Karnataka']",['B.Tech'],['2020'],['N/A'],['N/A'],['ECE'],['Tech Mahindra'],[None],['Feb 2020'],['Ongoing'],"[['Conversational AI', 'NLP']]",['Associate System Engineer Intern'],['N/A'],"Open-Source Technologies
CI/CD Culture & Tooling
Product Availability & Scalability
Automation (Build & Deploy)
Monitoring & Reliability
Infrastructure Innovation
Software Engineering Velocity
Infrastructure Resiliency
Security & Data Availability","['N/A', 'N/A']","['N/A', 'NPTEL']","[None, None]","['Cloud Infrastructure for advanced Computing', 'Machine Learning']",,,,,,,,DevOps Engineer,Bachelor/Honors,At least 3 years,,"Open-Source Technologies
CI/CD Culture & Tooling
Product Availability & Scalability
Automation (Build & Deploy)
Monitoring & Reliability
Infrastructure Innovation
Software Engineering Velocity
Infrastructure Resiliency
Security & Data Availability","Ansible
AWS Cloud
Cloud Platform
DevOps
Dockers and Kubernetes
Java
ReactJS
Terraform",0.2
,"Financial Accountant specializing in financial planning, reporting and analysis within the Department of Defense.","['Account reconciliations', 'Results-oriented', 'Financial reporting', 'Critical thinking', 'Accounting operations professional', 'Analysis of financial systems', 'ERP (Enterprise Resource Planning) software', 'Excellent facilitator', 'Accounting', 'General Accounting', 'Accounts Payable', 'Program Management']","['Northern Maine Community College', 'Husson College']","['Associate', 'N/A']","['1994', 'N/A']","['3.41', 'N/A']","['GPA', None]","['Accounting', 'Accounting']","['Company Name', 'Company Name', 'Company Name', 'Company Name', 'Company Name', 'Company Name', 'Company Name', 'Company Name', 'Company Name']","[None, None, None, None, None, None, None, None, None]","['July 2011', 'April 2010', 'July 2008', 'January 2007', 'February 2000', 'February 1999', 'June 1995', 'June 1994', 'June 1993']","['November 2012', 'June 2011', 'April 2010', 'July 2009', 'January 2007', 'February 2000', 'February 1999', 'June 1995', 'June 1994']","[['General Ledger', 'ERP', 'Accounting Adjustments'], ['Coordinating Budget', 'Financial Advice', 'Defense Travel System'], ['Accounting Oversight', 'Financial Analysis', 'Metrics Program'], ['Report Standardization', 'General Accounting', 'Compliance Review'], ['Branch Management', 'Accounts Payable', 'Vendor Pay System'], ['Vendor Pay', 'Financial Statement Reports', 'Process Improvement'], ['Vendor Pay Workflow', 'Personnel Management', 'Training'], ['DoD Accounting Systems', 'Consolidation Procedures'], ['Financial Reports', 'Data Analysis', 'Audit Compliance']]","['Accountant', 'Resource Advisor', 'Staff Accountant', 'Chief, Reports Branch. Accounts Maintenance and Control', 'Chief, Accounts Payable Branch', 'Chief, Recon and Reports Branch', 'Chief, Accounts Payable Branch', 'Accountant, Network Assistant Team', 'Supervisor, Accounts Control Branch']","['City, State', 'City, State', 'City, State', 'City, State', 'City, State', 'City, State', 'City, State', 'City, State', 'City, State']","Trade Marketing Executive
Brand Visibility, Sales Targets
Field Marketing, Campaigns, Product Distribution
Brand Head
Excel, KPIs Tracking",,,,,,,['N/A'],[None],[None],['May 2005'],['N/A'],"Executive/ Senior Executive- Trade Marketing, Hygiene Products",Master of Business Administration (MBA),At least 3 years,,"Trade Marketing Executive
Brand Visibility, Sales Targets
Field Marketing, Campaigns, Product Distribution
Brand Head
Excel, KPIs Tracking","Brand Promotion
Campaign Management
Field Supervision
Merchandising
promotional activities
Trade Marketing",0.1388
,"I am a Junior Machine Learning developer who focuses on data improvement and modelling, finding patterns in large databases and optimization of different models.","['Data Analyst', 'Data Analytics', 'Machine Learning', 'Artificial Intelligence', 'Linear Regression', 'Clustering', 'MongoDB', 'Flask', 'AWS', 'Git', 'Python', 'Neural Networks', 'PyTorch', 'C++', 'CNN', 'Image Processing']",['JCP COLLEGE OF ENGINEERING AND TECHNOLOGY'],['B.TECH'],['2020'],['N/A'],['N/A'],['ELECTRICAL'],['CAPITUM INDIA'],['N/A'],['APR 2020'],['TILL DATE'],"[[""Evaluating and pre-processing client's credit data"", 'Mine and analyze data', 'Optimization and improvement of product development']]",['JUNIOR MACHINE LEARNING ENGINEER'],['NASIK'],"Digital Marketing Strategy
Brand Awareness, Online Traffic
Social Media Management
Google Analytics
Cross-functional Teams
Campaign Execution, SEO",,,,,,,,,,,,Marketing Officer,Bachelor/Honors,At least 1 year,,"Digital Marketing Strategy
Brand Awareness, Online Traffic
Social Media Management
Google Analytics
Cross-functional Teams
Campaign Execution, SEO","Corporate Marketing
Facebook Ads Manager
Facebook campaign
Facebook marketing
Google Ads
Google analytics
Market Researc
Marketing
Search Engine Optimization (SEO)",0.0918
,Graduate database management engineer looking to join a role in data analytics or cloud-based machine learning solutions.,"['Software Development', 'Data Science', 'Data Analysis', 'Data Structure', 'Business Analytics', 'Java', 'Powerbi', 'Tableau', 'SQL', 'DBMS', 'RDBMS', 'GraphQL', 'NoSQL', 'MongoDB', 'Firebase', 'Advanced Excel', 'Cloud-Testing', 'AWS', 'Azure', 'Cloud Management']",['VIT-AP'],['B.Tech'],['2021'],['N/A'],['N/A'],['Computers'],['CB'],['N/A'],['May 2020'],['Oct 2020'],"[['Data Engineering', 'Cloud']]",['Intern'],['N/A'],"Machine Learning Leadership
Cross-Functional Collaboration
Strategy Development
ML/NLP Infrastructure
Prototype Transformation
ML System Design
Algorithm Research
Application Development
Dataset Selection
ML Testing
Statistical Analysis
R&D in ML/NLP
Text Representation
Data Pipeline Design
Statistical Data Analysis
Model Training
Team Collaboration
Research Reporting
Algorithm Analysis",['N/A'],['N/A'],[None],['Data science on cloud'],,,,,,,,Machine Learning (ML) Engineer,M.Sc in Computer Science & Engineering or in any relevant discipline from a reputed University,At least 5 year(s),,"Machine Learning Leadership
Cross-Functional Collaboration
Strategy Development
ML/NLP Infrastructure
Prototype Transformation
ML System Design
Algorithm Research
Application Development
Dataset Selection
ML Testing
Statistical Analysis
R&D in ML/NLP
Text Representation
Data Pipeline Design
Statistical Data Analysis
Model Training
Team Collaboration
Research Reporting
Algorithm Analysis",,0.1663
,Recently graduated fresher experienced in Machine Learning and Natural Language Processing looking for roles that involve projects in the same.,"['Python Programming', 'Machine Learning', 'Natural language Processing', 'Numpy', 'NLTK', 'Text Analysis', 'Transformers', 'Series Analysis', 'Conversational AI']",['KCCE University'],['B.Tech'],['2019'],['N/A'],['N/A'],['Computers'],['eLevaTe LtD.'],[None],['Apr 2019'],['till date'],"[['Machine Learning', 'Natural Language Processing']]",['Machine Learning Developer'],['N/A'],"Supervision
Monitoring
Construction
Estimation
Planning
Material Management
Project Coordination
Quality Assurance
Cost Control
Inventory
Operations
Safety
Error Escalation
Miscellaneous Tasks




","['Machine Learning', 'Big Data Analytics']","['Py-Thonist', None]","[None, None]","[None, None]",,,,,,,,Site Engineer,Bachelor of Science (BSc) in Civil Engineering,1 to 2 years,Age 25 to 30 years,"Supervision
Monitoring
Construction
Estimation
Planning
Material Management
Project Coordination
Quality Assurance
Cost Control
Inventory
Operations
Safety
Error Escalation
Miscellaneous Tasks




","AutoCAD
Communication and negotiation skills
Internet
MS Office",0.1295
,"Machine Learning engineer who has worked on multiple projects with knowledge in big data handling and business analytics. As someone who is always learning, I would love to use my knowledge to provide the best solutions.","['Neural Networks', 'Python', 'Postgresql', 'Django', 'Microsoft Azure', 'Flask', 'Hive', 'Kafka', 'Business Analysis', 'Machine Learning', 'Deep Learning']","['SSGM, Maharashtra', 'International Institute of Information Technology (IIIT), Bangalore']","['B.Tech', 'MSc']","['2017', '2019']","[None, None]","[None, None]","['Electronics/Telecommunication', 'Data Science']",['Tata Consultancy Services'],[None],['Dec 2019'],['N/A'],"[['NLP', 'statistical approach', 'ML modeling', 'data extraction', 'feature generation', 'orchestration', 'deployments']]",['Machine Learning Engineer'],['N/A'],"Digital Marketing Strategy
Brand Awareness, Online Traffic
Social Media Management
Google Analytics
Cross-functional Teams
Campaign Execution, SEO",,,,,,,,,,,,Marketing Officer,Bachelor/Honors,At least 1 year,,"Digital Marketing Strategy
Brand Awareness, Online Traffic
Social Media Management
Google Analytics
Cross-functional Teams
Campaign Execution, SEO","Corporate Marketing
Facebook Ads Manager
Facebook campaign
Facebook marketing
Google Ads
Google analytics
Market Researc
Marketing
Search Engine Optimization (SEO)",0.1207
,,"['Django', 'Python', 'Relational databases', 'RestAPI', 'Github', 'Jira', 'PostgreSQL', 'Software development', 'Debugging', 'Machine learning', 'Natural language Processing', 'Artificial Intelligence', 'Data Analysis', 'Docker', 'Tornado', 'Software Developer', 'Project Management']","['Dr. Virendra Swaroop Institute of Computer Studies, Kanpur', 'Pranveer Singh Institute of Technology, Kanpur']","['BCA', 'MCA']","['2016', '2019']","[None, None]","[None, None]","['Computers', 'Computers']",['Daffodil Software Pvt Ltd'],[None],['Jan 2019'],['Till Date'],"[['Developing', 'designing', 'optimizing automation script', 'crons', 'managing database conflicts', 'executing solution']]",['Software Developer'],['N/A'],"iOS Lifecycle
Requirement Analysis
Native Frameworks
iOS Development
API Integration
Technical Communication
UI Design
Performance Optimization
Feature Collaboration
Bug Fixing
Code Translation
High-Performance Development
Task Management
Cross-Team Collaboration
Code Quality",,,,,,,,,,,,Senior iOS Engineer,Bachelor of Science (BSc) in Computer Science,At least 4 years,,"iOS Lifecycle
Requirement Analysis
Native Frameworks
iOS Development
API Integration
Technical Communication
UI Design
Performance Optimization
Feature Collaboration
Bug Fixing
Code Translation
High-Performance Development
Task Management
Cross-Team Collaboration
Code Quality","iOS
iOS App Developer
iOS Application Development
iOS Development
Mobile apps Developer (iOS)
Native IOS
Swift (iOS)
Swift UI",0.2
,I recently graduated with a B.Tech degree in IT and currently am looking for jobs in sectors related to machine learning. I want to explore and hone my skills. I am committed towards better coding practices.,"['Data Modeling', 'Requirement Gathering', 'Machine Learning', 'Data Science', 'Python', 'C++', 'C', 'Java']",['Symbiosis University'],['B.Tech'],['2020'],['N/A'],['N/A'],['IT'],['N/A'],['N/A'],['N/A'],['N/A'],[[]],['N/A'],['N/A'],"Technical Support
Troubleshooting
Collaboration
Documentation
System Monitoring
Software Deployment
Training & Mentorship
Industry Trends
Field Visits




",['Other Activities'],['Artificial Intelligence and Robotics'],['N/A'],['N/A'],,,,,,,,Senior Software Engineer,B.Sc in Computer Science & Engineering from a reputed university.,At least 1 year,,"Technical Support
Troubleshooting
Collaboration
Documentation
System Monitoring
Software Deployment
Training & Mentorship
Industry Trends
Field Visits




",,0.0883
,,"['Aderant/CMS', 'Excel', 'QuickBooks Pro', 'SQL', 'Access', 'Peachtree', 'Hyperion Essbase', 'Financial reporting', 'US GAAP principles', 'IFRS', 'Bookkeeping', 'Budget development', 'Individual tax returns']",['TEMPLE UNIVERSITY'],['Bachelor of Business Administration'],['2002'],[None],[None],['Accounting'],"['Company Name', 'Company Name', 'Company Name']","[None, None, None]","['Mar 2006', 'Jan 2005', 'Aug 2002']","['Current', 'Mar 2006', 'Jan 2005']","[None, None, None]","['Senior Accountant', 'Accountant', 'Financial Analyst']","['City , State', 'City , State', 'City , State']","Hardware & Network Installation
Troubleshooting & Diagnostics
User Training & Capacity Building
Hardware Replacement
Fault Repair & System Setup
Software License & Account Management
Backup Management
System Updates & Maintenance
Server & Storage Management
Documentation & Technical Specifications
Data Protection & Disaster Recovery
Storage & Database Planning
Power & Disk Backup
Incident Management & Escalation
Service Restoration
User Communication & Verification
Incident Classification & Resolution
Major Incident Escalation
Problem & Error Management
Task Assignment & Execution",['Vice President'],['APS (Accounting Professional Society)'],[None],['Vice President'],,,['New York State'],[None],[None],['03/04/2015'],[None],"System Administrator (Operation & Maintenance of Server, Storage & Service Desk System)",Bachelor/Honors,4 to 5 years,,"Hardware & Network Installation
Troubleshooting & Diagnostics
User Training & Capacity Building
Hardware Replacement
Fault Repair & System Setup
Software License & Account Management
Backup Management
System Updates & Maintenance
Server & Storage Management
Documentation & Technical Specifications
Data Protection & Disaster Recovery
Storage & Database Planning
Power & Disk Backup
Incident Management & Escalation
Service Restoration
User Communication & Verification
Incident Classification & Resolution
Major Incident Escalation
Problem & Error Management
Task Assignment & Execution","Cisco
Linux
Operation & Maintenance of Server",0.2
,"Long term goals , become an intuitive I/E Technician in the pulp and paper industry, teach others with the potential to take on a leadership role within my first 5 years","['Operational analysis', 'Exceptional time management', 'Geometric dimensioning', 'Strong leader', 'Manufacturing process controls', 'Detail-oriented', 'Analog and digital circuitry', 'Detail drawings', 'Comfortable working at heights and odd locations', 'Technical plan execution aptitude', 'Detail-oriented understanding that any downtime must be minimized if not avoidable', 'Understand overtime and on-call basis may be required', 'Rigging', 'Soldering, Drilling- Tapping', 'Measurement and layout', 'Test and measurement equipment', 'Equipment calibration', 'Tenacity , willingness to go to whatever length it takes to solve a problem or improve a process', 'assembly', 'broadcast', 'calibration', 'concept', 'drafting', 'engineer', 'Radar', 'modeling', 'Naval', 'Network', 'Oscilloscopes', 'quality', 'record keeping', 'Research', 'sales', 'FM', 'SPS', 'Test Equipment', 'UHF', 'Wiring']",['Central Maine Community College'],['Associate of Applied Science'],['Current'],['N/A'],['N/A'],"['Continuing coursework in Math, History and finishing the ELT program']","['Company Name', 'Company Name', 'Company Name', 'Company Name']","[None, None, None, None]","['May 1994', 'Jun 1988', 'Jun 1985', 'Jun 1980']","['May 2000', 'Jun 1994', 'May 1988', 'Mar 1982']","[['RF systems', 'component level testing', 'maintenance', 'calibrations', 'low voltage control wiring', 'Field service engineering', 'schematics', 'engineering project issues', 'test equipment', 'collaboration with engineers'], ['Research and Development', 'component testing', 'installation', 'proof of performance test', 'repair', 'manuals', 'sales', 'RF systems', 'calibration', 'test equipment'], None, ['preventive maintenance', 'operate radar', 'communications equipment', 'Naval Tactical Data Systems operator']]","['Engineering Technician/ Field Service', 'Engineering technician', 'Technician', 'Operations Specialist']","['City , State', 'City , State', 'City , State', 'State']","15+ Years Banking Experience
Audit/Inspection/ICC Leadership
Internal Audit & Compliance
Risk-Based Operational Reviews
System-Based Audit Expertise
Knowledge of Bangladeshi Laws",,,,,,,['State of Maine'],[None],[None],['N/A'],[None],Head of Internal Control & Compliance (ICC) - SEVP/DMD,"Masters, Master of Business Administration (MBA), Master of Business Management (MBM)",At least 15 years,Age at most 52 years,"15+ Years Banking Experience
Audit/Inspection/ICC Leadership
Internal Audit & Compliance
Risk-Based Operational Reviews
System-Based Audit Expertise
Knowledge of Bangladeshi Laws","AUDIT AND INSPECTION
Banking
Internal Audit",0.2402
"Portland, OR","Flexible, autonomous graduate with an MS in Computer Science looking to leverage experience building responsive and scalable web apps to solve problems that delight end-users. Motivated to learn from senior engineers while sharing innovative ideas in an environment like Odoo that values personal growth.",[],"['Portland State University', 'University of Pittsburgh']","['M.S.', 'B.S.']","['2020', '2018']","['N/A', 'N/A']","['N/A', 'N/A']","['Computer Science', 'Computer Science']","['FreshDirect', 'Marketing Science Associates']","[None, None]","['April 2018', 'April 2017']","['September 2018', 'September 2017']","[[], []]","['Full Stack Engineer Intern', 'Full Stack Engineer Intern']","['Portland, OR', 'Pittsburgh PA']","Project Design
Data Analysis
ACCORD/Alliance Knowledge
BNBC Standards
Cost Estimation
Feasibility Studies
Documentation
Compliance
Site Monitoring
Policy Enforcement
Legal Compliance
Data Management
Team Collaboration",,,,,,,,,,,,Project Coordinator (Civil),•Bachelor of Business Administration (BBA) in Human Resource Management,5 to 10 years,Age 30 to 40 years,"Project Design
Data Analysis
ACCORD/Alliance Knowledge
BNBC Standards
Cost Estimation
Feasibility Studies
Documentation
Compliance
Site Monitoring
Policy Enforcement
Legal Compliance
Data Management
Team Collaboration","Auto CAD 2D 3D
Civil 3D
Civil Construction
Civil Engineering",0.1266
,Currently seeking opportunities as an Analyst as well as Machine Learning Engineer.,"['Data science', 'Deep learning', 'Neural networks', 'Artificial intelligence', 'Machine learning', 'Regression Analysis', 'Data structures', 'Embedded C', 'Microcontroller', 'Arduino', 'Network Management']","['Cummins College of Engineering, Pune']",['B.Tech'],['2018'],['N/A'],['N/A'],['N/A'],['Tata Sons'],['N/A'],['Mar 2018'],['Aug 2020'],"[['Data science', 'Deep learning', 'Neural networks', 'Artificial intelligence', 'Machine learning', 'Regression Analysis', 'Data structures', 'Embedded C', 'Microcontroller', 'Arduino', 'Network Management']]",['Analyst'],['N/A'],"Hardware & Software Installation
System Monitoring
IT Support
Networking Expertise
Mail Server Administration
Security Management
Troubleshooting & Repair
Operations Support",['Award'],['L&T'],['N/A'],"['Junior Engineer Award L&T, Best Solution Provided L&T']",,,,,,,,Executive/ Sr. Executive -IT,Bachelor of Science (BSc) in Computer Science & Engineering,3 to 5 years,Age at most 40 years,"Hardware & Software Installation
System Monitoring
IT Support
Networking Expertise
Mail Server Administration
Security Management
Troubleshooting & Repair
Operations Support",,0.1067
,"An enthusiast, with a Master's degree in Electronics & Telecommunication, very keen to learn & eagerly looking for opportunities.","['Data science', 'Deep learning', 'Neural Networks', 'Artificial Intelligence', 'Natural Language Processing', 'Pattern Recognition', 'Machine Learning', 'Predictive Analytics', 'Logistic regression']","['St. Subhash College, Hyderabad']",['B.CA'],['2020'],['N/A'],['N/A'],['N/A'],['BB House of Developers'],['N/A'],['Nov 2019'],['Feb 2020'],[['Machine Learning']],['Intern Trainee'],['N/A'],"Machine Learning Design
Data Analysis
Model Training
AI Integration
Innovation
Cross-Functional Collaboration
Model Deployment
Documentation
Analytical Skills
Communication
Team Collaboration",['MACHINE LEARNING with Python'],['N/A'],['N/A'],['N/A'],,,,,,,,AI Engineer,"Bachelors or Masters degree in Computer Science, Engineering, or a related field.",,,"Machine Learning Design
Data Analysis
Model Training
AI Integration
Innovation
Cross-Functional Collaboration
Model Deployment
Documentation
Analytical Skills
Communication
Team Collaboration","Python
R or Java
TensorFlow
PyTorch
Scikit-learn.",0.4626
,"Financial Accountant specializing in financial planning, reporting and analysis within the Department of Defense.","['Account reconciliations', 'Results-oriented', 'Financial reporting', 'Critical thinking', 'Accounting operations professional', 'Analysis of financial systems', 'ERP (Enterprise Resource Planning) software', 'Excellent facilitator', 'Accounting', 'General Accounting', 'Accounts Payable', 'Program Management']","['Northern Maine Community College', 'Husson College']","['Associate', 'N/A']","['1994', 'N/A']","['3.41', 'N/A']","['GPA', None]","['Accounting', 'Accounting']","['Company Name', 'Company Name', 'Company Name', 'Company Name', 'Company Name', 'Company Name', 'Company Name', 'Company Name', 'Company Name']","[None, None, None, None, None, None, None, None, None]","['July 2011', 'April 2010', 'July 2008', 'January 2007', 'February 2000', 'February 1999', 'June 1995', 'June 1994', 'June 1993']","['November 2012', 'June 2011', 'April 2010', 'July 2009', 'January 2007', 'February 2000', 'February 1999', 'June 1995', 'June 1994']","[['General Ledger', 'ERP', 'Accounting Adjustments'], ['Coordinating Budget', 'Financial Advice', 'Defense Travel System'], ['Accounting Oversight', 'Financial Analysis', 'Metrics Program'], ['Report Standardization', 'General Accounting', 'Compliance Review'], ['Branch Management', 'Accounts Payable', 'Vendor Pay System'], ['Vendor Pay', 'Financial Statement Reports', 'Process Improvement'], ['Vendor Pay Workflow', 'Personnel Management', 'Training'], ['DoD Accounting Systems', 'Consolidation Procedures'], ['Financial Reports', 'Data Analysis', 'Audit Compliance']]","['Accountant', 'Resource Advisor', 'Staff Accountant', 'Chief, Reports Branch. Accounts Maintenance and Control', 'Chief, Accounts Payable Branch', 'Chief, Recon and Reports Branch', 'Chief, Accounts Payable Branch', 'Accountant, Network Assistant Team', 'Supervisor, Accounts Control Branch']","['City, State', 'City, State', 'City, State', 'City, State', 'City, State', 'City, State', 'City, State', 'City, State', 'City, State']","Data Platform Design
Data Pipeline Development
ETL Processes
SQL Query Optimization
Data Integration & Transformation
Data Modeling
Stakeholder Collaboration
Data Quality Monitoring
Continuous Learning",,,,,,,['N/A'],[None],[None],['May 2005'],['N/A'],Data Engineer,Bachelor of Science (BSc),5 to 8 years,,"Data Platform Design
Data Pipeline Development
ETL Processes
SQL Query Optimization
Data Integration & Transformation
Data Modeling
Stakeholder Collaboration
Data Quality Monitoring
Continuous Learning","Azure
Big Data
Data Analytics
ETL Tools
Power BI
SQL",0.1566
,"Petroleum Engineering Graduate and Military Veteran seeking a full-time position in an organization that will allow for professional growth, a long career, and meaningful employment.","['SolidWorks 2005', 'Electrical drafting', 'Tube furnaces', 'administrative', 'cash receipts', 'customer service', 'directing', 'instruction', 'inventory', 'leadership', 'logistics', 'machinery', 'marketing', 'mentoring', 'natural gas', 'organizing', 'personnel', 'police', 'progress', 'promotion', 'proposals', 'quality', 'quality control', 'reading', 'reconciling', 'risk management', 'safety', 'sales', 'supervisory', 'supervision']",['LOUISIANA STATE UNIVERSITY'],['Bachelor of Science'],['N/A'],['N/A'],[None],['Petroleum Engineering'],"['Company Name', 'Company Name', 'Company Name', 'Company Name']","[None, None, None, None]","['06/2015', '06/2014', '09/2011', '09/2006']","['08/2015', '08/2014', '01/2012', '10/2010']","[None, None, None, None]","['Engineering Intern', 'Field Engineering Intern', 'Assistant Service Manager', 'Non-Commissioned Officer']","['City, State', 'City, State', 'City, State', 'City, State']","Machinery Maintenance
Troubleshooting
Report Preparation
Log Maintenance","['Philanthropy Committee Chairman', 'INTRAMURAL SPORTS']","['THETA CHI FRATERNITY', None]","[None, None]","['Chairman', 'Participant']",,,,,,,,Mechanical Engineer,"Bachelor of Science (BSc) in Mechanical Engineering, Diploma in Mechanical",2 to 5 years,Age 25 to 40 years,"Machinery Maintenance
Troubleshooting
Report Preparation
Log Maintenance","Maintenance  and Troubleshooting
Mechanical",0.057
,I am a fresher business analyst with a knack for building applications that use machine learning and deep learning.,"['Business Analyst', 'Data Analysis', 'Machine Learning', 'Python', 'C++', 'DotNet', 'Java', 'PyTorch']","['Institute of Technology, Banaras Hindu University']",['B.Tech (Civil)'],['2019'],['N/A'],['N/A'],['Civil'],['CITI'],['N/A'],['March 2019'],['June 2020'],"[['Data Analysis', 'Machine Learning']]",['Financial Business Analyst Intern'],['N/A'],"Digital Marketing Strategy
Brand Awareness, Online Traffic
Social Media Management
Google Analytics
Cross-functional Teams
Campaign Execution, SEO",['TEAM LEAD'],['BHU Civil Planning for Modern City'],['N/A'],['Team Lead'],,,,,,,,Marketing Officer,Bachelor/Honors,At least 1 year,,"Digital Marketing Strategy
Brand Awareness, Online Traffic
Social Media Management
Google Analytics
Cross-functional Teams
Campaign Execution, SEO","Corporate Marketing
Facebook Ads Manager
Facebook campaign
Facebook marketing
Google Ads
Google analytics
Market Researc
Marketing
Search Engine Optimization (SEO)",0.0906
